name,ring,quadrant,isNew,description,Laatst bijgewerkt,,
Advanced Analytics,Assess,Data management & Infrastructure,FALSE,"Met Advanced Analytics worden diverse technologieën en toepassingen bedoeld. Zowel in de Gartner Hype Cycle als in de CGI Future Scan staan meerdere ‘analytics’ variaties, waarin analyses van data worden gecombineerd met vast procesflows, real time procesdata en process mining tot Artificial Intelligence en visualisaties om processen beter te kunnen ondersteunen en te sturen. In deze TechRadar zijn deze samengevoegd omdat het – naar onze mening voor Kadaster – vergelijkbare situaties en technologieën zijn. Op verschillende terreinen kunnen deze waardevol zijn en zouden deze onderzocht moeten worden.",06-09-21,,
Artificial Intelligence ,Adopt,Techniques,FALSE,"Artificial Intelligence (AI) is 'here to stay'. Het is een breed begrip dat in alle tech radars veelvuldig wordt genoemd en vooral in vele vormen en toepassingen (machine learning, deep learning, (un)supervised learning, GAN’s etc.). Met AI wordt gedoeld op cognitieve vaardigheden die normaliter aan mensen worden toegekend maar nu door een machine worden toegepast. Denk aan lerend vermogen, oplossend vermogen en beslissingen maken. Aangezien dit een niet te negeren trend is, is het voor Kadaster ook zaak om hier aandacht aan te besteden. Daarbij is toepassen met zorgvuldigheid en wel afgewogen een must. Los van autonome systemen kan AI ook heel goed ondersteunend worden ingezet. Zie Machine learning, Deep learning & Natural Language Processing  voor meer informatie over deze AI methodes.",06-09-21,,
Autonomous things,Monitor,Tools,FALSE,"Robots, drones, auto's en andere autonome apparaten zijn sterk in ontwikkeling en beloven grote impact in onze manier van leven te gaan hebben. We zien steeds vaker dat deze 'dingen' taken uitvoeren die eerst door mensen werden uitgevoerd en dus taken overnemen of dat het onze taak ondersteunt en dat ons werk er door verandert. Voor het Kadaster zien we daar niet direct veel toepassing voor aangezien ons werk voornamelijk administratief is of heel specifiek in de ruimte (geografisch) zich afspeelt. Wel voorzien we mogelijke impact van deze trend in het registreren van deze autonomous things, zeker als daar rechten en financieringen op bijgehouden moeten worden. Het Kadaster zou daar mogelijk een rol in kunnen gaan spelen.",06-09-21,,
Blockchain,Assess,Data management & Infrastructure,FALSE,"De hype van blockchain begint af te nemen. D.w.z. het wordt nog steeds gezien als de beloofte voor 'vervanging van het Kadaster', terwijl dit in de praktijk volstrekt niet waar is. Het adresseert wel een relevant onderwerp, namelijk: vertrouwen en dan met name vertrouwen in het digitale domein. Welke autoriteit 'zegt' dat data klopt en wat zegt dat dan? Daarnaast is blockchain een gevolg / doorontwikkeling van digitale systemen die steeds beter de decentrale wereld gaan representeren. Dit onderdeel van blockchain past het Kadaster toe in SensRNet, een nieuwe nationale registratie van sensoren waarin deelnemers (nodes) in het register(netwerk) zelf sensoren kunnen beheren, terwijl de data integriteit en koppeling tussen de deelnemers door blockchain worden gegarandeerd. De hype van blockchain begint af te nemen en tegelijk was, is en blijft dit een interessante technologie om te volgen. Het Kadaster doet dat al jaren (oa) met deelname in de Odessey Hackathon en in contact met diverse partners. Er komt met het volwassener worden van Blockchain ook steeds meer aandacht voor een extra check vooraf: is hetgeen op de Blockchain wordt geplaatst daadwerkelijk een representatie van het object. Dit object / de informatie daarover kan zowel fysiek (materiaal in de bouwwereld) als digitaal (ticket in de evenementenbranche) zijn. Het gaat dus om zekerheid over de herkomst van iets dat wordt gerepresenteerd op de Blockchain: authenticated provenance.",06-09-21,,
Cloud Computing,Adopt,Data management & Infrastructure,FALSE,"Cloud Computing is een omvangrijke term die vooral de ontwikkeling van de virtualisatie duidt: van hardware naar virtuele machines (VMs) naar containers naar serverless. In dit spectrum is 'containerization' op dit moment redelijk mainstream aan het worden cq geworden voor huidige software systemen. Zowel ontwikkeltools als vele productiesystemen zijn onderverdeeld in of maken gebruik van containers. Ook het Kadaster is vergaand over naar containers en Kubernetes (container orchestration). De volgende stap in Cloud Computing beweegt naar een nog kleinere eenheid van software 'die ergens draait': serverless. In dat geval is er geen container of VM meer nodig als specifieke runtime, maar zijn er resources waarvan gebruik gemaakt wordt op het moment dat het nodig is. Op het moment dat een functie uitgevoerd moet worden, worden de resources toegewezen aan de functie. Cloud Computing betreft de virtualisatie van (oorspronkelijk en uiteraard nog steeds onderliggend) hardware maar ook het gestandaardiseerd gebruik daarvan aangeboden door grote partijen. Kadaster is vanaf 2018 al bezig met de migratie naar grote leveranciers van Kubernetes(-as-a-Service) en in die zin bezig met de adoptie van Cloud Computing. De volgende fase van Cloud Computing in het gebruik van Serverless is nog in onderzoek bij Kadaster.",06-09-21,,
Computer vision,Explore,Tools,FALSE,"Computer vision is een veld binnen AI waarbij systemen zelf beelden kunnen begrijpen, interpreteren en daar evt ook zelfstandig beslissingen op kunnen nemen. Een voorbeeld van een computer vision toepassing is gezichtsherkenning. Computer vision wordt binnen het Kadaster met name toegepast door het Geo-Expertise Centrum van Maatwerk & Advies waarbij zij o.a. beeldherkenning gebruiken om op basis van luchtfoto’s de zonnepotentie te berekenen. Daarnaast wordt computer vision toegepast bij Kadastrale Kaart Next voor het vectoriseren van de veldwerken. Hierbij herkent de computer o.a. lijnen, punten en bijbehorende tekst. Optical character recoginition (OCR) valt ook onder computer vision. Hierbij gaat het specifiek om het herkennen van tekst in afbeeldingen. In het verleden zijn bijna 17 miljoen Hyp4 aktes ge-OCR'd. Recent is er gekeken of nieuwe OCR technieken tot betere resultaten zou leiden. Er moet nog verder onderzocht worden (aan de hand van een use case) of het de moeite waarde is om alle oude aktes opnieuw te OCR’en.",06-09-21,,
Data Science,Adopt,Techniques,FALSE,"Data science is een wetenschappelijke benadering op data. Niet uitgaande van gedefinieerde rapportages, maar de data beschikbaar maken en hypotheses testen op de data. Dit heeft grote relatie met Big Data en Artificial Intelligence. Wat zou ik willen weten van ons proces, bedrijf, data en hoe zou ik dat uit de data kunnen halen? En welke patronen zou een machine kunnen vinden of zou ik een machine kunnen trainen op bepaalde patronen op te sporen? Door de hoeveelheid data die tegenwoordig beschikbaar is en de mogelijkheden om daar gevarieerd gebruik van te maken en de processing power die beschikbaar is met cloud computing, wordt het mogelijk om dit soort capaciteiten zelf te ontwikkelen en zelf onderzoeken te kunnen uitvoeren ipv dat over te laten aan een select aantal onderzoeksbureaus. Dit is een trend die niet te negeren is en steeds meer ín de bedrijfsvoering wordt gebruikt ipv incidenteel geraadpleegd of ingezet. Het Kadaster bezit veel data van de registraties en de landelijke voorzieningen waarop analyses steeds meer mogelijk worden en ook behoefte voor is. Daarnaast ontwikkelt de markt zich steeds verder en wordt de vraag naar toegang tot onze data en de mogelijkheid voor externe partijen – en burgers – om daar analyses op te doen, steeds sterker. Daarom is het zaak om deze capability op te bouwen als Kadaster, deels om zelf onderzoeken te kunnen doen, deels om de markt te kunnen voorzien van wat zij nodig hebben. Dat kan alleen maar goed ingevuld worden als het Kadaster zelf ook onderzoeken uitvoert.",06-09-21,,
Digital Twin ,Assess,Data management & Infrastructure,FALSE,"De wereld ondergaat momenteel een nieuwe golf van (technologische) ontwikkelingen. Dankzij deze vierde industriële revolutie zien wij een versmelting van de fysieke- en digitale wereld en een enorme toename aan data. Er wordt tegenwoordig zelfs al gesproken over virtual worlds waarin er, net zoals in de fysieke wereld, digitale schaarste bestaat door technieken zoals NFT's. De versmelting van de fysieke- en digitale wereld zien wij het best terug in een digital twin: een digitale kopie van een fysiek object (bijvoorbeeld een vliegtuig). Voor het Kadaster is een digital twin van de gebouwde omgeving het meest relevant: “een slimme, dynamische, digitale representatie van de fysieke wereld met gebruikersvriendelijke visualisatie van de bovengrond en de ondergrond. Slim omdat je ermee kan rekenen, voorspellen, simuleren en monitoren. Een digital twin is geen doel op zich, het helpt om de fysieke wereld beter te laten functioneren (gezonder, veiliger, duurzamer).“ Wij hebben een faciliterende rol in deze ontwikkeling: het leveren van data en technische bouwblokken waar andere digital twins mee kunnen creëren.",06-09-21,,
Distributed Storage,Explore,Data management & Infrastructure,FALSE,"Distributed Storage gaat verder van geautomatiseerde services van traditionele opslag (storage). Trends als Big Data en Distributed FileSystems worden ondersteund vanuit zaken als Cloud Storage en noSQL maar bevatten het aspect van gedistribueerd zijn van de data. Dit is een trend die relevant is aangezien decentraal en gedistribueerd zijn van data en services erg in opkomst is. Oplossingen en tools die Distributed Storage beschikbaar maken, zijn het onderzoeken waard voor het Kadaster.",06-09-21,,
Empowered Edge,Monitor,Data management & Infrastructure,FALSE,"Met dat de hele wereld met elkaar in verbinding staat, wordt het duidelijk wat de randen van het netwerk zijn. Met de intrede van 'the Internet of Things' (IoT) wordt dit als de rand beschouwd, the edge. Deze IoT devices worden steeds krachtiger en krijgen steeds meer mogelijkheden, zelfs tot en met Artificial Intelligence. Dat is geen simpele edge meer, maar een empowered edge! 5G valt hier ook onder en maakt het mogelijk om  meer apparaten aan te sluiten op het internet en kan de vertraging in de verbinding verminderen. Dit maakt het mogelijk om realtime informatie tussen apparaten zoals zelfrijdende auto's uit te wisselen. Het Kadaster onderzoekt deze technologie momenteel nog niet maar deze kan in de toekomst relevant zijn zeker in de combinatie met de opkomst van meer sensoren. Sensoren zijn voor het Kadaster een ontwikkelend terrein. Sensoren zijn vaak uitgerust met IoT capabilities en vormen als zodanig onderdeel van de empowered edge. Het Kadaster zal waarschijnlijk niet direct zelf met IoT en sensoren aan de slag gaan, maar zal wel actief betrokken zijn bij registratie en locatie van sensoren, in ieder geval in de openbare ruimte en van de overheid. Een gebied om te blijven volgen dus.",06-09-21,,
Event Stream Processing,Adopt,Techniques,FALSE,"Data is steeds minder statisch en steeds meer in beweging. Er is steeds meer data en het wordt steeds relevanter wat de kwaliteit en de actualiteit van data is. Data wordt dan steeds meer beschouwd als een stroom van events. Dit is geen nieuw concept en technologieën om event streams te processen zijn behoorlijk volwassen. In de tijd van cloud computing en eventually consistency is event stream processing een essentieel onderdeel. Het Kadaster ontwerpt steeds meer haar systemen met events als de kern van de data(veranderingen). Daarmee ontstaan patronen en architecturen die zich lenen voor event stream processing of geliëerde technieken, zoals event-sourcing. Voorbeelden waar dit toegepast wordt bij Kadaster, zijn KOERS, KDP, BeterKenbaar, Terristische Registratie. Tegelijk is Event Stream Processing nog geen algemeen gedeelde visie op hoe het Kadaster (en daar buiten) data en data stromen modelleren en onderzoeken we hoe we dit meer kunnen toepassen en laten groeien.",06-09-21,,
Explainable AI,Assess,Techniques,FALSE,"De laatste jaren is er niet alleen aandacht voor waar en hoe AI ingezet kan worden maar ook hoe dit op een verantwoorde manier gedaan kan worden. Explainable AI wordt daarbij vaak gezien als een set van technieken die het mogelijk maakt om de uitkomsten van “black box” AI systemen op zo een manier uit te leggen dat ze voor mensen begrijpelijk zijn. Explainable AI kan volgens Gartner ook nog breder worden geïnterpreteerd als de capaciteiten om een AI systeem te beschrijven incl. sterktes en zwaktes van het systeem, voorspellen van gedrag en het identificeren van mogelijke bias. Binnen het Kadaster willen we op een betrouwbare, transparante en ethische manier omgaan met de AI systemen die we hebben en (gaan) ontwikkelen. Er is daarom een kernteam governance algoritmische toepassingen opgericht welke bezig is met het implementeren van richtlijnen voor de inzet van algoritmes. Ook is het kernteam aan het onderzoeken hoe tools zoals een algoritmeregister kunnen helpen bij het uitlegbaar en transparant maken van AI systemen. ",06-09-21,,
Extended Reality ,Assess,Tools,FALSE,"Extended reality is de overkoepelende term voor Virtual Reality (VR), Mixed Reality (MR), Augmented Reality (AR) en andere immersieve technologieën die de fysieke en digitale wereld verbinden. Hierbij gaat het vooral om de visualisatie zelf en heeft de techniek daarom ook raakvlakken met andere techs zoals digital win. Het Kadaster onderzoekt waar VR en AR van toepassing kunnen zijn. Er zijn experimenten uitgevoerd met AR voor grensreconstructie en VR wordt gecombineerd met de digital twin technologie. Het is goed om verder te onderzoeken waar deze technologieën nog verder toegepast kunnen worden. Mogelijk dat bepaalde toepassingen omtrent extended reality ook interessant zijn voor het thuiswerken, denk hierbij bijv. aan een VR desktop.",06-09-21,,
Quantumtechnologie,Monitor,Data management & Infrastructure,FALSE,"Quantumtechnologie  is een sleuteltechnologie die nieuwe producten en diensten mogelijk maakt. Quantumcomputers, quantumnetwerken en quantumsensoren kunnen straks dingen die hun 'klassieke' voorgangers niet kunnen. Quantumcomputers vallen onder high performance computing en hebben een veel grotere verwerkingssnelheid dan gewone computers. Quantumnetwerken en quantumcommunicatie kunnen het mogelijk maken om op een extreem veilige manier met elkaar te communiceren. Wanneer er wordt geprobeerd af te luisteren, wordt dit gedetecteerd. Tot slot onderscheiden quantumsensoren zich van klassieke sensoren door hun hoge gevoeligheid en resolutie. Quantumtechnologie is nog volop in ontwikkeling en het is daarom  belangrijk om de kansen en risico’s van deze technologie goed in de gaten te houden.",06-09-21,,
High Performance Computing,Monitor,Data management & Infrastructure,FALSE,"High performance computing (HPC), ook wel super computing genoemd, is geaggregeerde computerkracht waarbij het geheel veel meer is dan de som van een aantal pc's. De term supercomputer wordt gebruikt voor systemen die tenminste 10.000 tot 100.000 keer sneller zijn dan een gewone pc. Door deze veel grotere rekencapaciteit wordt het mogelijk om complexe problemen op te lossen op het gebied van wetenschappelijk onderzoek en technologische ontwikkeling. Ontwikkelingen zoals quantum computing, neuromorphic  en brain-inspired hardware vallen onder HPC. Andere technologische ontwikkelingen zoals op het gebied van fotonica kunnen zorgen voor een verdere versnelling. Op dit moment zijn de ontwikkelingen nog niet zo ver dat het Kadaster deze kan toepassen en het Kadaster is geen organisatie om deze zelf mee te ontwikkelen. Maar Kadaster houdt wel rekening met deze trend en ontwikkelingen en - voor dit moment - vooral op hoe dit in de toekomst disruptief zou kunnen zijn: de beveiliging van dit moment gaat uit van de relatief beperkte rekenkracht die beschikbaar is om encryptie te ontcijferen. Stel dat HPC beschikbaar komt, is, hoe veilig is onze data en zijn onze systemen dan nog? Voordat de eerste high performance computers zo ver zijn om de encryptie te ontcijferen duurt waarschijnlijk nog een aantal jaar. Wel is het belangrijk om te beseffen dat al eerder maatregelen genomen moeten worden om de encryptie bijv. quantum proof te maken. Het implementeren van deze nieuwe vormen van encryptie kost namelijk ook tijd.",06-09-21,,
